"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"ремонт листогибов сталекс рх про","2026-07-23 - 2026-08-23","2.00","0.00","0.00","3.50","","0.00","0.00","","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"ремонт гидравлической гильотины","2026-07-23 - 2026-08-23","2.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","1.00","0.00","0.00","11.00",""
"ремонт пилы городец","2026-07-23 - 2026-08-23","2.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","11.00",""
"диагностика листогибочного станка","2026-07-23 - 2026-08-23","2.00","0.00","0.00","3.00","","0.00","0.00","","2.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"ремонт вальцовочного оборудования","2026-07-23 - 2026-08-23","2.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","1.00","0.00","0.00","11.00",""
"где в калязине можно отремонтировать электрическую пилу немецкую","2026-07-23 - 2026-08-23","2.00","0.00","0.00","3.00","","0.00","0.00","","2.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"ошибка связи dm листогибочный станок","2026-07-23 - 2026-08-23","2.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.00","","0.00","0.00","","",""
"ремонт ленточной пилы","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.00","","0.00","0.00","","",""
"не работает станок гибочный","2026-07-23 - 2026-08-23","2.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт деревообрабатывающих станков в москве q*uadrо-teсhnоlоgy#44","2026-07-23 - 2026-08-23","2.00","0.00","0.00","12.50","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","12.50",""
"листогибочный станок с чпу серии е2590 неисправности","2026-07-23 - 2026-08-23","2.00","0.00","0.00","4.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.50","","0.00","0.00","","",""
"услуга ремонт ленточной пилы","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.00","","0.00","0.00","","",""
"листогибочный станок края догибает до конца середину нет причины","2026-07-23 - 2026-08-23","2.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"left gate switches not synchroni гибочный станок не работает","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","0.00","0.00","","",""
"как ремонтировать листогибочный станок stalex 3 метровый","2026-07-23 - 2026-08-23","2.00","0.00","0.00","4.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.50","","0.00","0.00","","",""
"типичные неисправности гибочного станка","2026-07-23 - 2026-08-23","2.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.00","","0.00","0.00","","",""
"ремонт деревообрабатывающих станков в москве ★quа98drо-теchnоlogy","2026-07-23 - 2026-08-23","2.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","1.00","0.00","0.00","14.00",""
"замена рельсы ленточной пилорамы в кулебаках нижегородская обл","2026-07-23 - 2026-08-23","2.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","1.00","0.00","0.00","11.00",""
"поршень листогиб не меняет угол","2026-07-23 - 2026-08-23","2.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"можно ли починить скол на ноже гильотинного ножа","2026-07-23 - 2026-08-23","2.00","0.00","0.00","6.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.50","","0.00","0.00","","",""
"станок lvd починка","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.00","","0.00","0.00","","",""
"ремонт трубогибов электрических","2026-07-23 - 2026-08-23","2.00","0.00","0.00","2.50","","0.00","0.00","","2.00","0.00","0.00","2.50","","0.00","0.00","","","","0.00","0.00","","",""
"гибочный станок не догибает одну сторону","2026-07-23 - 2026-08-23","2.00","0.00","0.00","9.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","1.00","0.00","0.00","11.00",""
"ремонт ленточной пилы во владимире","2026-07-23 - 2026-08-23","2.00","2.00","100.00","3.00","3.00","0.00","0.00","","2.00","2.00","100.00","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"не работает гибочный станок","2026-07-23 - 2026-08-23","2.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.00","","0.00","0.00","","",""
"что за ошибка 2531 в модуле 6035135 на листогибе amd10031","2026-07-23 - 2026-08-23","2.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.00","","0.00","0.00","","",""
"ремонт станка","2026-07-23 - 2026-08-23","2.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","1.00","0.00","0.00","13.00",""
"диагностика станков","2026-07-23 - 2026-08-23","2.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","0.00","0.00","","",""
"ремонт вальцовок в новосибирске","2026-07-23 - 2026-08-23","2.00","0.00","0.00","3.00","","0.00","0.00","","2.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"на гильотину не влазит слишком толстая","2026-07-23 - 2026-08-23","2.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"машина листогибочная неисправности","2026-07-23 - 2026-08-23","2.00","0.00","0.00","10.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","1.00","0.00","0.00","13.00",""
"меленки ремонт бензопил","2026-07-23 - 2026-08-23","2.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","11.00",""
"причины списания станок гибочный","2026-07-23 - 2026-08-23","2.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","0.00","0.00","","",""
"ремонт гидравлических трубогибов","2026-07-23 - 2026-08-23","2.00","0.00","0.00","7.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.50","","0.00","0.00","","",""
"настройка листогиба в калуге","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.00","","0.00","0.00","","",""
"ремонт листогибов","2026-07-23 - 2026-08-23","2.00","0.00","0.00","11.50","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","11.50",""
"листогиб и1330 подклинивает правая сторона","2026-07-23 - 2026-08-23","2.00","0.00","0.00","12.50","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","12.50",""
"сломался втягивающий палец на гильотине ремонт","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","0.00","0.00","","",""
"da695 delem как поднять траверсу","2026-07-23 - 2026-08-23","2.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"пайка пил в ишиме","2026-07-23 - 2026-08-23","2.00","0.00","0.00","7.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.50","","0.00","0.00","","",""
"профилегиб и трубогиб это разные вещи","2026-07-23 - 2026-08-23","2.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","1.00","0.00","0.00","12.00",""
"странный звук при работе листогиба ironmac","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","0.00","0.00","","",""
"услуга ремонт вальцовочных станков","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","0.00","0.00","","",""
"услуга ремонт гильотин","2026-07-23 - 2026-08-23","2.00","0.00","0.00","8.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","1.00","0.00","0.00","12.00",""
"ремонт пил калачинск","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","0.00","0.00","","",""
"estun e23","2026-07-23 - 2026-08-23","2.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"ип горбунов","2026-07-23 - 2026-08-23","2.00","0.00","0.00","33.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","33.00",""
"почему при вращении вала на листогибателе поднимается давление и клинит вал","2026-07-23 - 2026-08-23","2.00","0.00","0.00","6.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.50","","0.00","0.00","","",""
"delem нет референции","2026-07-23 - 2026-08-23","2.00","0.00","0.00","6.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.50","","0.00","0.00","","",""
"ремонт и обслуживание гильотины schiavi","2026-07-23 - 2026-08-23","2.00","0.00","0.00","18.50","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","18.50",""
"не рубит гильотина","2026-07-23 - 2026-08-23","2.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"ремонт ленточнопильных станков по дереву бытовых","2026-07-23 - 2026-08-23","2.00","0.00","0.00","7.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"ремонт гильотины сергиев посад","2026-07-23 - 2026-08-23","2.00","0.00","0.00","9.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","1.00","0.00","0.00","11.00",""
"ремонт гильотины советского образца","2026-07-23 - 2026-08-23","2.00","0.00","0.00","6.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.50","","0.00","0.00","","",""
"гибочный станок ermaksan не запускается двигатель","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.00","","0.00","0.00","","",""
"ремонт листогибочного пресса в самаре","2026-07-23 - 2026-08-23","2.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.00","","0.00","0.00","","",""
"услуги трубогиба в красноуфимске","2026-07-23 - 2026-08-23","2.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"как починить гильотину","2026-07-23 - 2026-08-23","2.00","1.00","50.00","2.00","2.00","0.00","0.00","","2.00","1.00","50.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"ремонт вальцев","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.50","","0.00","0.00","","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"ремонт гидравлики 24 часа","2026-07-23 - 2026-08-23","2.00","0.00","0.00","28.50","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","28.50",""
"дсас htvjynстанков","2026-07-23 - 2026-08-23","2.00","0.00","0.00","15.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","15.00",""
"регулировка ножей на гильотине srfatlant","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"возможные неисправности на листогибных вальцах","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"ремонт балки гибочного станка замена держателя матрицы","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"услуга ремонт ленточнопильных станков","2026-07-23 - 2026-08-23","1.00","0.00","0.00","19.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","19.00",""
"краас гибочный станок , понятие на экране отклонение","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"абамет amb-32031 ремонт delem da-66t","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"ремонт станок","2026-07-23 - 2026-08-23","1.00","0.00","0.00","21.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","21.00",""
"балка без движения диагностика листогиба durma","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"ремонт листогиба в спб","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт ленточнопильного станка в симферополе","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"ремонт ножей гильотина","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"ремонт станков es500","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"ermaksan ремонт сервис станков","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"ремонт деревообрабатывающих станков и в москве quadro-теchnology51-v8","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"контролёр delem da-69t коды ошибок s9004","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"ermaksan гибочник опустить после работы","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"контролёр delem da-69t коды ошибок s9007","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"листогиб перестал отпускать нож из за гидравлического","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"замена ножей на гильотине","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"причина поломки гибочного станка","2026-07-23 - 2026-08-23","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"гильотина новотроицк","2026-07-23 - 2026-08-23","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"ремонт вальцовок для медных трубок в новосибирске","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"услуга ремонт станков trumpf","2026-07-23 - 2026-08-23","1.00","0.00","0.00","28.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","28.00",""
"ремонт гибочного пресса с чпу","2026-07-23 - 2026-08-23","1.00","0.00","0.00","23.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","23.00",""
"ремонт гильотинремонт гильотины drobilka.ru","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"контроллер delem da-69t коды ошибок s9010","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт гибочного станка","2026-07-23 - 2026-08-23","1.00","0.00","0.00","42.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","42.00",""
"услуга ремонт ленточных пил","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"чпу станок не работает монитор","2026-07-23 - 2026-08-23","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"ремонт вальцовочного станка metal master esr 1320","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"ремонт и дозаправка гидроаккумулятора гильотинных ножниц вариф","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"пайка ленты для ленточной пилы сочи","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"диагностика листогиба","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"не крутится стойка монитор чпу","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"ремонт матрицы гибочника","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"концевик осей y 1 и 2 на листогибочном станке durma","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"услуги листогиба в назарово адрес","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"ремонт станков по дерепу","2026-07-23 - 2026-08-23","1.00","0.00","0.00","20.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","20.00",""
"листогиб не догибает по середине","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"контролёр delem da-69t коды ошибок s9002","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт гидравлического трубогиба в екатеринбурге","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"цилиндр гибочного станка медленно опускается причины","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"что может быть с датчиком на гибочном станке","2026-07-23 - 2026-08-23","1.00","0.00","0.00","19.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","19.00",""
"услуга ремонт ленточных п","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"по каким причинам на листогибе постоянно работает медленный ход только на опускание","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"бронко ремонт гильотин","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"контролёр delem da-69t коды ошибок s9008","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"на листогибе щелчок","2026-07-23 - 2026-08-23","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"что нужно сделать при обнаружении нетипичного звука или вибрации во время холостого запуска на листогибочном станке","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"ремонт листолиба эрмаксан","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"ремонт эл пилы в полевском","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"листогиб ошибка pe0008","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"выездной ремонт станков одинцово diamaster ks-600","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"ремонт гальетины на термоформере ножи","2026-07-23 - 2026-08-23","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"когда в ремонте гильотина","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт станков гильотин","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"кто ремонтирует пилы в камышлове","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт станков и оборудования металлообработка","2026-07-23 - 2026-08-23","1.00","0.00","0.00","21.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","21.00",""
"ермаксан листогиб ремонт","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"проблема чпу станка не выходит из reset","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"ремонт станков деревообрабатывающих quadro-technology","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"ремонт гибочного станка не работает в одну сторону","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"мкд 24 станок","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"отремонтировать ленточную пилу кт400 во владимире","2026-07-23 - 2026-08-23","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"обслуживание станков и оборудования","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"поломки листогиба серии wa67y","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"виды брака после листогибочного станка чпу","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"алиса почему станок не хочет гнуть","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"сервис ленточных пил в","2026-07-23 - 2026-08-23","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"настройщик гильотины","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт станков москва","2026-07-23 - 2026-08-23","1.00","0.00","0.00","41.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","41.00",""
"зависает гибочный станок","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"гибочный станок недогибает с одной стороны","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"развалилась муфта на гильотинных ножниц","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"станок листогибочный неисправности","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"ремонт гильотин полиграфических","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
